20.1427 	EXP 	window1: mouseVisible = True
20.1433 	EXP 	window1: mouseVisible = True
20.1569 	EXP 	window1: mouseVisible = True
20.1585 	EXP 	window1: mouseVisible = True
20.1939 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['Not at all', 'All of it'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.2]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='slider', styleTweaks=['triangleMarker'], ticks=array([  0, 100]), units='height', win=Window(...))
0.0236 	EXP 	slider: autoLog = True
0.0236 	EXP 	slider: styleTweaks = []
0.0236 	EXP 	slider: styleTweaks = []
0.0236 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0236 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0236 	EXP 	slider: contrast = 1.0
0.0236 	EXP 	slider: markerPos = None
0.0236 	EXP 	slider: autoLog = True
0.0735 	EXP 	slider: markerPos = None
0.0735 	EXP 	slider: markerPos = None
0.0735 	EXP 	slider: autoDraw = True
50.7437 	DATA 	Mouse: Left button down, pos=(93,158)
50.7568 	EXP 	slider: markerPos = -1.1666666666666714
50.7736 	EXP 	slider: markerPos = -1.1666666666666714
50.7903 	EXP 	slider: markerPos = -1.1666666666666714
50.8068 	EXP 	slider: markerPos = -1.1666666666666714
50.8234 	EXP 	slider: markerPos = -1.1666666666666714
50.8400 	EXP 	slider: markerPos = -1.1666666666666714
50.8565 	EXP 	slider: markerPos = -1.1666666666666714
50.8733 	EXP 	slider: markerPos = -1.1666666666666714
50.8902 	EXP 	slider: markerPos = -1.1666666666666714
50.9064 	EXP 	slider: markerPos = -1.1666666666666714
50.9233 	EXP 	slider: markerPos = -1.1666666666666714
50.9401 	EXP 	slider: markerPos = -0.8333333333333304
50.9564 	EXP 	slider: markerPos = -0.5000000000000004
50.9733 	EXP 	slider: markerPos = 0.0
50.9902 	EXP 	slider: markerPos = 0.16666666666666496
51.0064 	EXP 	slider: markerPos = 0.3333333333333355
51.0231 	EXP 	slider: markerPos = 0.5000000000000004
51.0401 	EXP 	slider: markerPos = 1.0000000000000009
51.0564 	EXP 	slider: markerPos = 1.1666666666666659
51.0732 	EXP 	slider: markerPos = 1.3333333333333308
