PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
30,2024/ 09/ 10,1726006409,0,D,R1,Q1,d,d,1
30,2024/ 09/ 10,1726006409,0,D,R1,Q2,c,c,1
30,2024/ 09/ 10,1726006409,0,D,R1,Q3,d,b,0
30,2024/ 09/ 10,1726006409,1,ND,R2,Q1,c,c,1
30,2024/ 09/ 10,1726006409,1,ND,R2,Q2,a,a,1
30,2024/ 09/ 10,1726006409,1,ND,R2,Q3,c,c,1
30,2024/ 09/ 10,1726006409,2,D,R3,Q1,d,b,0
30,2024/ 09/ 10,1726006409,2,D,R3,Q2,d,d,1
30,2024/ 09/ 10,1726006409,2,D,R3,Q3,b,b,1
30,2024/ 09/ 10,1726006409,3,ND,R4,Q1,c,c,1
30,2024/ 09/ 10,1726006409,3,ND,R4,Q2,b,b,1
30,2024/ 09/ 10,1726006409,3,ND,R4,Q3,c,c,1
30,2024/ 09/ 10,1726006409,4,D,R5,Q1,a,b,0
30,2024/ 09/ 10,1726006409,4,D,R5,Q2,d,d,1
30,2024/ 09/ 10,1726006409,4,D,R5,Q3,c,c,1
30,2024/ 09/ 10,1726006409,5,ND,R6,Q1,d,d,1
30,2024/ 09/ 10,1726006409,5,ND,R6,Q2,c,c,1
30,2024/ 09/ 10,1726006409,5,ND,R6,Q3,b,b,1
30,2024/ 09/ 10,1726006409,6,D,R7,Q1,d,d,1
30,2024/ 09/ 10,1726006409,6,D,R7,Q2,a,b,0
30,2024/ 09/ 10,1726006409,6,D,R7,Q3,e,e,1
30,2024/ 09/ 10,1726006409,7,ND,R8,Q1,a,c,0
30,2024/ 09/ 10,1726006409,7,ND,R8,Q2,c,c,1
30,2024/ 09/ 10,1726006409,7,ND,R8,Q3,b,d,0
