PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
2,2024/ 06/ 05,1717627238,0,D,R1,Q1,b,d,0
2,2024/ 06/ 05,1717627238,0,D,R1,Q2,c,c,1
2,2024/ 06/ 05,1717627238,0,D,R1,Q3,b,b,1
2,2024/ 06/ 05,1717627238,1,ND,R2,Q1,c,c,1
2,2024/ 06/ 05,1717627238,1,ND,R2,Q2,a,a,1
2,2024/ 06/ 05,1717627238,1,ND,R2,Q3,c,c,1
2,2024/ 06/ 05,1717627238,2,D,R3,Q1,b,b,1
2,2024/ 06/ 05,1717627238,2,D,R3,Q2,a,d,0
2,2024/ 06/ 05,1717627238,2,D,R3,Q3,d,b,0
2,2024/ 06/ 05,1717627238,3,ND,R4,Q1,c,c,1
2,2024/ 06/ 05,1717627238,3,ND,R4,Q2,b,b,1
2,2024/ 06/ 05,1717627238,3,ND,R4,Q3,c,c,1
