PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
22,2024/ 09/ 05,1725567845,0,D,R1,Q1,b,d,0
22,2024/ 09/ 05,1725567845,0,D,R1,Q2,b,c,0
22,2024/ 09/ 05,1725567845,0,D,R1,Q3,b,b,1
22,2024/ 09/ 05,1725567845,1,ND,R2,Q1,e,c,0
22,2024/ 09/ 05,1725567845,1,ND,R2,Q2,a,a,1
22,2024/ 09/ 05,1725567845,1,ND,R2,Q3,e,c,0
22,2024/ 09/ 05,1725567845,2,D,R3,Q1,b,b,1
22,2024/ 09/ 05,1725567845,2,D,R3,Q2,d,d,1
22,2024/ 09/ 05,1725567845,2,D,R3,Q3,b,b,1
22,2024/ 09/ 05,1725567845,3,ND,R4,Q1,d,c,0
22,2024/ 09/ 05,1725567845,3,ND,R4,Q2,b,b,1
22,2024/ 09/ 05,1725567845,3,ND,R4,Q3,c,c,1
22,2024/ 09/ 05,1725567845,4,D,R5,Q1,b,b,1
22,2024/ 09/ 05,1725567845,4,D,R5,Q2,e,d,0
22,2024/ 09/ 05,1725567845,4,D,R5,Q3,d,c,0
22,2024/ 09/ 05,1725567845,5,ND,R6,Q1,d,d,1
22,2024/ 09/ 05,1725567845,5,ND,R6,Q2,b,c,0
22,2024/ 09/ 05,1725567845,5,ND,R6,Q3,b,b,1
22,2024/ 09/ 05,1725567845,6,D,R7,Q1,b,d,0
22,2024/ 09/ 05,1725567845,6,D,R7,Q2,b,b,1
22,2024/ 09/ 05,1725567845,6,D,R7,Q3,e,e,1
22,2024/ 09/ 05,1725567845,7,ND,R8,Q1,c,c,1
22,2024/ 09/ 05,1725567845,7,ND,R8,Q2,c,c,1
22,2024/ 09/ 05,1725567845,7,ND,R8,Q3,d,d,1
