PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
18,2024/ 08/ 30,1725059066,0,D,R1,Q1,b,d,0
18,2024/ 08/ 30,1725059066,0,D,R1,Q2,c,c,1
18,2024/ 08/ 30,1725059066,0,D,R1,Q3,b,b,1
18,2024/ 08/ 30,1725059066,1,ND,R2,Q1,c,c,1
18,2024/ 08/ 30,1725059066,1,ND,R2,Q2,a,a,1
18,2024/ 08/ 30,1725059066,1,ND,R2,Q3,b,c,0
18,2024/ 08/ 30,1725059066,2,D,R3,Q1,e,b,0
18,2024/ 08/ 30,1725059066,2,D,R3,Q2,d,d,1
18,2024/ 08/ 30,1725059066,2,D,R3,Q3,e,b,0
18,2024/ 08/ 30,1725059066,3,ND,R4,Q1,c,c,1
18,2024/ 08/ 30,1725059066,3,ND,R4,Q2,b,b,1
18,2024/ 08/ 30,1725059066,3,ND,R4,Q3,c,c,1
18,2024/ 08/ 30,1725059066,4,D,R5,Q1,b,b,1
18,2024/ 08/ 30,1725059066,4,D,R5,Q2,d,d,1
18,2024/ 08/ 30,1725059066,4,D,R5,Q3,c,c,1
18,2024/ 08/ 30,1725059066,5,ND,R6,Q1,d,d,1
18,2024/ 08/ 30,1725059066,5,ND,R6,Q2,c,c,1
18,2024/ 08/ 30,1725059066,5,ND,R6,Q3,b,b,1
18,2024/ 08/ 30,1725059066,6,D,R7,Q1,d,d,1
18,2024/ 08/ 30,1725059066,6,D,R7,Q2,b,b,1
18,2024/ 08/ 30,1725059066,6,D,R7,Q3,e,e,1
18,2024/ 08/ 30,1725059066,7,ND,R8,Q1,c,c,1
18,2024/ 08/ 30,1725059066,7,ND,R8,Q2,c,c,1
18,2024/ 08/ 30,1725059066,7,ND,R8,Q3,d,d,1
