PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
1,2024/ 08/ 09,1723237255,0,ND,R1,Q1,d,d,1
1,2024/ 08/ 09,1723237255,0,ND,R1,Q2,c,c,1
1,2024/ 08/ 09,1723237255,0,ND,R1,Q3,b,b,1
1,2024/ 08/ 09,1723237255,1,D,R2,Q1,a,c,0
1,2024/ 08/ 09,1723237255,1,D,R2,Q2,d,a,0
1,2024/ 08/ 09,1723237255,1,D,R2,Q3,c,c,1
1,2024/ 08/ 09,1723237255,2,ND,R3,Q1,e,b,0
1,2024/ 08/ 09,1723237255,2,ND,R3,Q2,d,d,1
1,2024/ 08/ 09,1723237255,2,ND,R3,Q3,e,b,0
1,2024/ 08/ 09,1723237255,3,D,R4,Q1,c,c,1
1,2024/ 08/ 09,1723237255,3,D,R4,Q2,b,b,1
1,2024/ 08/ 09,1723237255,3,D,R4,Q3,c,c,1
1,2024/ 08/ 09,1723237255,4,ND,R5,Q1,d,b,0
1,2024/ 08/ 09,1723237255,4,ND,R5,Q2,d,d,1
1,2024/ 08/ 09,1723237255,4,ND,R5,Q3,c,c,1
1,2024/ 08/ 09,1723237255,5,D,R6,Q1,a,d,0
1,2024/ 08/ 09,1723237255,5,D,R6,Q2,a,c,0
1,2024/ 08/ 09,1723237255,5,D,R6,Q3,a,b,0
1,2024/ 08/ 09,1723237255,6,ND,R7,Q1,b,d,0
1,2024/ 08/ 09,1723237255,6,ND,R7,Q2,b,b,1
1,2024/ 08/ 09,1723237255,6,ND,R7,Q3,e,e,1
1,2024/ 08/ 09,1723237255,7,D,R8,Q1,a,c,0
1,2024/ 08/ 09,1723237255,7,D,R8,Q2,b,c,0
1,2024/ 08/ 09,1723237255,7,D,R8,Q3,d,d,1
