PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
31,2024/ 09/ 11,1726077303,0,D,R1,Q1,b,d,0
31,2024/ 09/ 11,1726077303,0,D,R1,Q2,c,c,1
31,2024/ 09/ 11,1726077303,0,D,R1,Q3,c,b,0
31,2024/ 09/ 11,1726077303,1,D,R2,Q1,e,c,0
31,2024/ 09/ 11,1726077303,1,D,R2,Q2,a,a,1
31,2024/ 09/ 11,1726077303,1,D,R2,Q3,a,c,0
31,2024/ 09/ 11,1726077303,2,ND,R3,Q1,b,b,1
31,2024/ 09/ 11,1726077303,2,ND,R3,Q2,a,d,0
31,2024/ 09/ 11,1726077303,2,ND,R3,Q3,b,b,1
31,2024/ 09/ 11,1726077303,3,ND,R4,Q1,c,c,1
31,2024/ 09/ 11,1726077303,3,ND,R4,Q2,b,b,1
31,2024/ 09/ 11,1726077303,3,ND,R4,Q3,c,c,1
31,2024/ 09/ 11,1726077303,4,D,R5,Q1,b,b,1
31,2024/ 09/ 11,1726077303,4,D,R5,Q2,a,d,0
31,2024/ 09/ 11,1726077303,4,D,R5,Q3,c,c,1
31,2024/ 09/ 11,1726077303,5,D,R6,Q1,d,d,1
31,2024/ 09/ 11,1726077303,5,D,R6,Q2,b,c,0
31,2024/ 09/ 11,1726077303,5,D,R6,Q3,b,b,1
31,2024/ 09/ 11,1726077303,6,ND,R7,Q1,c,d,0
31,2024/ 09/ 11,1726077303,6,ND,R7,Q2,b,b,1
31,2024/ 09/ 11,1726077303,6,ND,R7,Q3,e,e,1
31,2024/ 09/ 11,1726077303,7,ND,R8,Q1,c,c,1
31,2024/ 09/ 11,1726077303,7,ND,R8,Q2,c,c,1
31,2024/ 09/ 11,1726077303,7,ND,R8,Q3,e,d,0
