PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
3,2024/ 06/ 07,1717801412,0,ND,R1,Q1,e,d,0
3,2024/ 06/ 07,1717801412,0,ND,R1,Q2,b,c,0
3,2024/ 06/ 07,1717801412,0,ND,R1,Q3,b,b,1
3,2024/ 06/ 07,1717801412,1,D,R2,Q1,c,c,1
3,2024/ 06/ 07,1717801412,1,D,R2,Q2,a,a,1
3,2024/ 06/ 07,1717801412,1,D,R2,Q3,c,c,1
3,2024/ 06/ 07,1717801412,2,ND,R3,Q1,e,b,0
3,2024/ 06/ 07,1717801412,2,ND,R3,Q2,d,d,1
3,2024/ 06/ 07,1717801412,2,ND,R3,Q3,b,b,1
3,2024/ 06/ 07,1717801412,3,D,R4,Q1,c,c,1
3,2024/ 06/ 07,1717801412,3,D,R4,Q2,b,b,1
3,2024/ 06/ 07,1717801412,3,D,R4,Q3,d,c,0
