PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
5,2024/ 08/ 20,1724206996,0,ND,R1,Q1,d,d,1
5,2024/ 08/ 20,1724206996,0,ND,R1,Q2,c,c,1
5,2024/ 08/ 20,1724206996,0,ND,R1,Q3,b,b,1
5,2024/ 08/ 20,1724206996,1,D,R2,Q1,e,c,0
5,2024/ 08/ 20,1724206996,1,D,R2,Q2,a,a,1
5,2024/ 08/ 20,1724206996,1,D,R2,Q3,e,c,0
5,2024/ 08/ 20,1724206996,2,ND,R3,Q1,e,b,0
5,2024/ 08/ 20,1724206996,2,ND,R3,Q2,d,d,1
5,2024/ 08/ 20,1724206996,2,ND,R3,Q3,a,b,0
5,2024/ 08/ 20,1724206996,3,D,R4,Q1,c,c,1
5,2024/ 08/ 20,1724206996,3,D,R4,Q2,b,b,1
5,2024/ 08/ 20,1724206996,3,D,R4,Q3,c,c,1
5,2024/ 08/ 20,1724206996,4,ND,R5,Q1,c,b,0
5,2024/ 08/ 20,1724206996,4,ND,R5,Q2,d,d,1
5,2024/ 08/ 20,1724206996,4,ND,R5,Q3,c,c,1
5,2024/ 08/ 20,1724206996,5,D,R6,Q1,d,d,1
5,2024/ 08/ 20,1724206996,5,D,R6,Q2,b,c,0
5,2024/ 08/ 20,1724206996,5,D,R6,Q3,e,b,0
5,2024/ 08/ 20,1724206996,6,ND,R7,Q1,b,d,0
5,2024/ 08/ 20,1724206996,6,ND,R7,Q2,c,b,0
5,2024/ 08/ 20,1724206996,6,ND,R7,Q3,e,e,1
5,2024/ 08/ 20,1724206996,7,D,R8,Q1,a,c,0
5,2024/ 08/ 20,1724206996,7,D,R8,Q2,d,c,0
5,2024/ 08/ 20,1724206996,7,D,R8,Q3,e,d,0
