PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
15,2024/ 08/ 29,1724974116,0,D,R1,Q1,d,d,1
15,2024/ 08/ 29,1724974116,0,D,R1,Q2,c,c,1
15,2024/ 08/ 29,1724974116,0,D,R1,Q3,d,b,0
15,2024/ 08/ 29,1724974116,1,D,R2,Q1,e,c,0
15,2024/ 08/ 29,1724974116,1,D,R2,Q2,a,a,1
15,2024/ 08/ 29,1724974116,1,D,R2,Q3,c,c,1
15,2024/ 08/ 29,1724974116,2,ND,R3,Q1,c,b,0
15,2024/ 08/ 29,1724974116,2,ND,R3,Q2,d,d,1
15,2024/ 08/ 29,1724974116,2,ND,R3,Q3,b,b,1
15,2024/ 08/ 29,1724974116,3,ND,R4,Q1,c,c,1
15,2024/ 08/ 29,1724974116,3,ND,R4,Q2,b,b,1
15,2024/ 08/ 29,1724974116,3,ND,R4,Q3,c,c,1
15,2024/ 08/ 29,1724974116,4,D,R5,Q1,b,b,1
15,2024/ 08/ 29,1724974116,4,D,R5,Q2,d,d,1
15,2024/ 08/ 29,1724974116,4,D,R5,Q3,c,c,1
15,2024/ 08/ 29,1724974116,5,D,R6,Q1,d,d,1
15,2024/ 08/ 29,1724974116,5,D,R6,Q2,c,c,1
15,2024/ 08/ 29,1724974116,5,D,R6,Q3,b,b,1
15,2024/ 08/ 29,1724974116,6,ND,R7,Q1,d,d,1
15,2024/ 08/ 29,1724974116,6,ND,R7,Q2,b,b,1
15,2024/ 08/ 29,1724974116,6,ND,R7,Q3,e,e,1
15,2024/ 08/ 29,1724974116,7,ND,R8,Q1,c,c,1
15,2024/ 08/ 29,1724974116,7,ND,R8,Q2,c,c,1
15,2024/ 08/ 29,1724974116,7,ND,R8,Q3,d,d,1
