PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
4,2024/ 06/ 07,1717805873,0,D,R1,Q1,d,d,1
4,2024/ 06/ 07,1717805873,0,D,R1,Q2,c,c,1
4,2024/ 06/ 07,1717805873,0,D,R1,Q3,b,b,1
4,2024/ 06/ 07,1717805873,1,ND,R2,Q1,e,c,0
4,2024/ 06/ 07,1717805873,1,ND,R2,Q2,a,a,1
4,2024/ 06/ 07,1717805873,1,ND,R2,Q3,c,c,1
4,2024/ 06/ 07,1717805873,2,D,R3,Q1,b,b,1
4,2024/ 06/ 07,1717805873,2,D,R3,Q2,d,d,1
4,2024/ 06/ 07,1717805873,2,D,R3,Q3,b,b,1
4,2024/ 06/ 07,1717805873,3,ND,R4,Q1,b,c,0
4,2024/ 06/ 07,1717805873,3,ND,R4,Q2,b,b,1
4,2024/ 06/ 07,1717805873,3,ND,R4,Q3,c,c,1
