PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
6,2024/ 08/ 21,1724266930,0,D,R1,Q1,e,d,0
6,2024/ 08/ 21,1724266930,0,D,R1,Q2,c,c,1
6,2024/ 08/ 21,1724266930,0,D,R1,Q3,b,b,1
6,2024/ 08/ 21,1724266930,1,ND,R2,Q1,e,c,0
6,2024/ 08/ 21,1724266930,1,ND,R2,Q2,a,a,1
6,2024/ 08/ 21,1724266930,1,ND,R2,Q3,b,c,0
6,2024/ 08/ 21,1724266930,2,D,R3,Q1,b,b,1
6,2024/ 08/ 21,1724266930,2,D,R3,Q2,d,d,1
6,2024/ 08/ 21,1724266930,2,D,R3,Q3,b,b,1
6,2024/ 08/ 21,1724266930,3,ND,R4,Q1,c,c,1
6,2024/ 08/ 21,1724266930,3,ND,R4,Q2,c,b,0
6,2024/ 08/ 21,1724266930,3,ND,R4,Q3,c,c,1
6,2024/ 08/ 21,1724266930,4,D,R5,Q1,b,b,1
6,2024/ 08/ 21,1724266930,4,D,R5,Q2,d,d,1
6,2024/ 08/ 21,1724266930,4,D,R5,Q3,a,c,0
6,2024/ 08/ 21,1724266930,5,ND,R6,Q1,e,d,0
6,2024/ 08/ 21,1724266930,5,ND,R6,Q2,b,c,0
6,2024/ 08/ 21,1724266930,5,ND,R6,Q3,b,b,1
6,2024/ 08/ 21,1724266930,6,D,R7,Q1,e,d,0
6,2024/ 08/ 21,1724266930,6,D,R7,Q2,c,b,0
6,2024/ 08/ 21,1724266930,6,D,R7,Q3,e,e,1
6,2024/ 08/ 21,1724266930,7,ND,R8,Q1,c,c,1
6,2024/ 08/ 21,1724266930,7,ND,R8,Q2,c,c,1
6,2024/ 08/ 21,1724266930,7,ND,R8,Q3,c,d,0
