PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
24,2024/ 09/ 06,1725654654,0,ND,R1,Q1,d,d,1
24,2024/ 09/ 06,1725654654,0,ND,R1,Q2,c,c,1
24,2024/ 09/ 06,1725654654,0,ND,R1,Q3,b,b,1
24,2024/ 09/ 06,1725654654,1,ND,R2,Q1,c,c,1
24,2024/ 09/ 06,1725654654,1,ND,R2,Q2,a,a,1
24,2024/ 09/ 06,1725654654,1,ND,R2,Q3,c,c,1
24,2024/ 09/ 06,1725654654,2,D,R3,Q1,a,b,0
24,2024/ 09/ 06,1725654654,2,D,R3,Q2,d,d,1
24,2024/ 09/ 06,1725654654,2,D,R3,Q3,b,b,1
24,2024/ 09/ 06,1725654654,3,D,R4,Q1,c,c,1
24,2024/ 09/ 06,1725654654,3,D,R4,Q2,b,b,1
24,2024/ 09/ 06,1725654654,3,D,R4,Q3,c,c,1
24,2024/ 09/ 06,1725654654,4,ND,R5,Q1,b,b,1
24,2024/ 09/ 06,1725654654,4,ND,R5,Q2,d,d,1
24,2024/ 09/ 06,1725654654,4,ND,R5,Q3,c,c,1
24,2024/ 09/ 06,1725654654,5,ND,R6,Q1,d,d,1
24,2024/ 09/ 06,1725654654,5,ND,R6,Q2,b,c,0
24,2024/ 09/ 06,1725654654,5,ND,R6,Q3,b,b,1
24,2024/ 09/ 06,1725654654,6,D,R7,Q1,d,d,1
24,2024/ 09/ 06,1725654654,6,D,R7,Q2,b,b,1
24,2024/ 09/ 06,1725654654,6,D,R7,Q3,e,e,1
24,2024/ 09/ 06,1725654654,7,D,R8,Q1,c,c,1
24,2024/ 09/ 06,1725654654,7,D,R8,Q2,c,c,1
24,2024/ 09/ 06,1725654654,7,D,R8,Q3,a,d,0
