PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
16,2024/ 08/ 30,1725035708,0,ND,R1,Q1,d,d,1
16,2024/ 08/ 30,1725035708,0,ND,R1,Q2,b,c,0
16,2024/ 08/ 30,1725035708,0,ND,R1,Q3,b,b,1
16,2024/ 08/ 30,1725035708,1,ND,R2,Q1,e,c,0
16,2024/ 08/ 30,1725035708,1,ND,R2,Q2,a,a,1
16,2024/ 08/ 30,1725035708,1,ND,R2,Q3,e,c,0
16,2024/ 08/ 30,1725035708,2,D,R3,Q1,b,b,1
16,2024/ 08/ 30,1725035708,2,D,R3,Q2,d,d,1
16,2024/ 08/ 30,1725035708,2,D,R3,Q3,e,b,0
16,2024/ 08/ 30,1725035708,3,D,R4,Q1,c,c,1
16,2024/ 08/ 30,1725035708,3,D,R4,Q2,b,b,1
16,2024/ 08/ 30,1725035708,3,D,R4,Q3,c,c,1
16,2024/ 08/ 30,1725035708,4,ND,R5,Q1,b,b,1
16,2024/ 08/ 30,1725035708,4,ND,R5,Q2,e,d,0
16,2024/ 08/ 30,1725035708,4,ND,R5,Q3,c,c,1
16,2024/ 08/ 30,1725035708,5,ND,R6,Q1,a,d,0
16,2024/ 08/ 30,1725035708,5,ND,R6,Q2,b,c,0
16,2024/ 08/ 30,1725035708,5,ND,R6,Q3,e,b,0
16,2024/ 08/ 30,1725035708,6,D,R7,Q1,a,d,0
16,2024/ 08/ 30,1725035708,6,D,R7,Q2,a,b,0
16,2024/ 08/ 30,1725035708,6,D,R7,Q3,e,e,1
16,2024/ 08/ 30,1725035708,7,D,R8,Q1,c,c,1
16,2024/ 08/ 30,1725035708,7,D,R8,Q2,c,c,1
16,2024/ 08/ 30,1725035708,7,D,R8,Q3,b,d,0
