PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Question_id,KeyPressed,CorrectAns,Correct
11,2024/ 08/ 27,1724781713,0,D,R1,Q1,d,d,1
11,2024/ 08/ 27,1724781713,0,D,R1,Q2,c,c,1
11,2024/ 08/ 27,1724781713,0,D,R1,Q3,b,b,1
11,2024/ 08/ 27,1724781713,1,D,R2,Q1,e,c,0
11,2024/ 08/ 27,1724781713,1,D,R2,Q2,a,a,1
11,2024/ 08/ 27,1724781713,1,D,R2,Q3,c,c,1
11,2024/ 08/ 27,1724781713,2,ND,R3,Q1,b,b,1
11,2024/ 08/ 27,1724781713,2,ND,R3,Q2,d,d,1
11,2024/ 08/ 27,1724781713,2,ND,R3,Q3,b,b,1
11,2024/ 08/ 27,1724781713,3,ND,R4,Q1,c,c,1
11,2024/ 08/ 27,1724781713,3,ND,R4,Q2,b,b,1
11,2024/ 08/ 27,1724781713,3,ND,R4,Q3,c,c,1
11,2024/ 08/ 27,1724781713,4,D,R5,Q1,b,b,1
11,2024/ 08/ 27,1724781713,4,D,R5,Q2,d,d,1
11,2024/ 08/ 27,1724781713,4,D,R5,Q3,c,c,1
11,2024/ 08/ 27,1724781713,5,D,R6,Q1,d,d,1
11,2024/ 08/ 27,1724781713,5,D,R6,Q2,c,c,1
11,2024/ 08/ 27,1724781713,5,D,R6,Q3,b,b,1
11,2024/ 08/ 27,1724781713,6,ND,R7,Q1,d,d,1
11,2024/ 08/ 27,1724781713,6,ND,R7,Q2,b,b,1
11,2024/ 08/ 27,1724781713,6,ND,R7,Q3,e,e,1
11,2024/ 08/ 27,1724781713,7,ND,R8,Q1,c,c,1
11,2024/ 08/ 27,1724781713,7,ND,R8,Q2,c,c,1
11,2024/ 08/ 27,1724781713,7,ND,R8,Q3,e,d,0
