participant,band,channel,statistic,p_value,p_value_corrected,significant
1,theta,1Z,0.994688439268328,0.3204773656376985,0.49124920769564506,False
1,theta,2Z,0.7626535473893874,0.44611073526473144,0.6192283340241794,False
1,theta,3Z,1.2013973227525019,0.23029403905228946,0.3790680642807596,False
1,theta,4Z,0.34779964833255633,0.7281700143441181,0.8208461979879149,False
1,theta,6Z,1.5142316557780697,0.1307413614063104,0.23841071785856605,False
1,theta,7Z,1.693668724629373,0.09109147808399395,0.1821829561679879,False
1,theta,8Z,1.4731339211697463,0.14148596589973558,0.2518344061407589,False
1,theta,9Z,1.8540818429932608,0.06444891823775896,0.14799381224966873,False
1,theta,1L,-1.3538365762847582,0.17653796746110512,0.30124827475014265,False
1,theta,2L,-1.574224150043489,0.11621071610519013,0.21615193195565366,False
1,theta,3L,-0.6235320322497162,0.5332833803743691,0.6648567600914869,False
1,theta,4L,-1.9263199151535222,0.05475881444307817,0.13763702008665593,False
1,theta,5L,-1.8419091336605917,0.06621400971584186,0.14983447374688427,False
1,theta,6L,-1.868628801236497,0.062390858891450386,0.14689493359252875,False
1,theta,7L,0.7007005613743545,0.48388930479518844,0.6383220616447167,False
1,theta,8L,1.4052252966073153,0.16071524488644506,0.2793741640082129,False
1,theta,9L,2.625522371676311,0.008976875998989999,0.03273919481984588,True
1,theta,10L,2.903839281643182,0.0038864431295935575,0.017631181026936626,True
1,theta,1R,1.8930990593576458,0.059052096004305145,0.14375241064061114,False
1,theta,2R,1.914619740922806,0.05624008216493063,0.13947540376902798,False
1,theta,3R,2.802090597348398,0.005319147815092378,0.02301450450360058,True
1,theta,4R,2.394140060654539,0.017110017830662426,0.05682970208041448,False
1,theta,5R,-0.40700469590783916,0.6842179737466452,0.7893340209974803,False
1,theta,6R,-1.4706203599627357,0.14216458411171876,0.2518344061407589,False
1,theta,7R,2.1822245403620184,0.02966270857091326,0.08898812571273979,False
1,theta,8R,2.0419753647441423,0.041796534602047304,0.11105936337115427,False
1,theta,9R,2.7623214482266296,0.005998675525108759,0.024335373813562957,True
1,theta,10R,2.9071040694264254,0.003846935264772207,0.017631181026936626,True
1,theta,1LA,-3.6329745105677196,0.00031590533295297965,0.0024739469300709763,True
1,theta,2LA,-2.297148702291016,0.02211589011813131,0.06743533708151514,False
1,theta,3LA,0.8143196145251768,0.4159369005215081,0.5909571295313584,False
1,theta,1LB,-2.163906436774334,0.031051224779273343,0.08977345524132467,False
1,theta,2LB,-2.9186150673230844,0.003710542698085116,0.017631181026936626,True
1,theta,3LB,-2.477837264467458,0.01362197479351029,0.0478054209734512,True
1,theta,4LB,-1.7074959781285548,0.08849064626503336,0.17890500223148048,False
1,theta,5LB,-1.775345384946718,0.07658627175864677,0.16187552894441248,False
1,theta,1LC,-0.9239643560067509,0.3560509897562917,0.5302299041310858,False
1,theta,2LC,-0.9053922098669644,0.36579197676361075,0.5399786323653302,False
1,theta,3LC,-0.9911142246793928,0.32221722225198224,0.49124920769564506,False
1,theta,4LC,1.2511772466162505,0.21158676037371552,0.35138515562063466,False
1,theta,5LC,1.8881536048890564,0.05971458953594544,0.14375241064061114,False
1,theta,1LD,0.10238146868610429,0.9185041912089225,0.9284879324177151,False
1,theta,2LD,0.45842638950501224,0.6468902185597221,0.756739500956656,False
1,theta,3LD,3.8332254331972835,0.0001464282031585058,0.0013617822893741039,True
1,theta,4LD,2.1118768989933963,0.03530433203120928,0.09656773173242537,False
1,theta,1RA,2.670778672149581,0.007870202382722223,0.029874645779312932,True
1,theta,2RA,0.26695613991746947,0.7896378091320229,0.8539106540613736,False
1,theta,3RA,0.7018395620159313,0.4831793805155017,0.6383220616447167,False
1,theta,1RB,1.8315991351418615,0.06774009535398831,0.1499959254266884,False
1,theta,2RB,1.8556572564548313,0.06422335225278547,0.14799381224966873,False
1,theta,3RB,0.7672708125133668,0.4433642897176465,0.6192283340241794,False
1,theta,4RB,0.3574372130463062,0.7209493410518977,0.8176620575344693,False
1,theta,5RB,2.9647847502138927,0.0032066895366690868,0.017041264394870005,True
1,theta,1RC,1.5369371260674682,0.12508382309891486,0.23035238709305114,False
1,theta,2RC,1.9911342802127907,0.047132594800594556,0.12009126894398066,False
1,theta,3RC,1.5909505259668997,0.11239519582107675,0.21116673154262905,False
1,theta,4RC,2.6830787022976326,0.007591425186364601,0.029416772597162827,True
1,theta,5RC,2.802003438341899,0.005320557492767876,0.02301450450360058,True
1,theta,1RD,2.437359266616468,0.015221302597266867,0.05242893116836365,False
1,theta,2RD,3.5669945527997062,0.0004039603924814894,0.002792768224778456,True
1,theta,3RD,3.5868355203741435,0.0003753165487729303,0.0027923551228706016,True
1,theta,4RD,3.630194477582087,0.0003192189587188356,0.0024739469300709763,True
1,alpha,1Z,-2.3284982445973,0.020373491656949547,0.06461716322540431,False
1,alpha,2Z,-2.421396528973126,0.015896280214104053,0.0537583294513337,False
1,alpha,3Z,-2.137930543375556,0.033115995834798184,0.09193395858615615,False
1,alpha,4Z,-2.5170202790149077,0.012217585126555382,0.043701362183448104,True
1,alpha,6Z,-0.49508080870496207,0.6208095902369046,0.7401960498978478,False
1,alpha,7Z,-1.0692928318161934,0.2855699428146347,0.453982986013009,False
1,alpha,8Z,-0.8808387660920296,0.3789236642028504,0.5506234495447669,False
1,alpha,9Z,-0.6792173327147527,0.49738529297061473,0.6515046795248898,False
1,alpha,1L,-3.8067649905041008,0.00016240389979542796,0.001438434541045219,True
1,alpha,2L,-4.0309303356029575,6.629541086625626e-05,0.0007253497894778626,True
