participant,classifier,band,mean_accuracy,std_accuracy
12,SVM,alpha,0.8595467385721622,0.023774575417870432
12,SVM,beta,0.889002311248074,0.017120564221470857
12,LDA,theta,0.8935092449922959,0.02206714492845301
12,LDA,alpha,0.8640857729840781,0.01402166571626542
12,LDA,beta,0.8006355932203391,0.022010326500233175
12,KNN,theta,0.9025873138161273,0.020155964000331036
12,KNN,alpha,0.850462249614792,0.027937176975714594
12,KNN,beta,0.8957948125321005,0.018563673747073888
12,RandomForest,theta,0.884469696969697,0.02821674619040591
12,RandomForest,alpha,0.8697290703646635,0.021429578697109146
12,RandomForest,beta,0.8867552645095017,0.01782999967228866
15,LogisticRegression,theta,0.8271844660194174,0.015533980582524264
15,LogisticRegression,alpha,0.858252427184466,0.027869320571664736
15,LogisticRegression,beta,0.9728155339805825,0.021622385875068036
15,SVM,theta,0.8504854368932039,0.02346222519144579
15,SVM,alpha,0.8932038834951456,0.0495050438212892
15,SVM,beta,0.9805825242718447,0.02036522035281847
15,LDA,theta,0.833009708737864,0.015533980582524268
15,LDA,alpha,0.8757281553398059,0.024866501892943142
15,LDA,beta,0.966990291262136,0.00990100876425783
15,KNN,theta,0.8349514563106796,0.01373022876090383
15,KNN,alpha,0.8893203883495145,0.041916569213442556
15,KNN,beta,0.9844660194174757,0.013169572782767505
15,RandomForest,theta,0.833009708737864,0.018825941193849813
15,RandomForest,alpha,0.8912621359223302,0.0370461825792989
15,RandomForest,beta,0.9708737864077669,0.01941747572815533
18,LogisticRegression,theta,0.8653493788819876,0.009946970325903422
18,LogisticRegression,alpha,0.8915139751552795,0.020417049334184534
18,LogisticRegression,beta,0.9289984472049688,0.02489956582249961
18,SVM,theta,0.8753105590062112,0.007902605504435114
18,SVM,alpha,0.8902639751552796,0.02867434164399394
18,SVM,beta,0.9289984472049688,0.029485723467326565
18,LDA,theta,0.8753027950310559,0.004196024552347444
18,LDA,alpha,0.9002173913043479,0.02104310277719813
18,LDA,beta,0.9165372670807453,0.029410476934332117
18,KNN,theta,0.8690916149068324,0.015117486415056959
18,KNN,alpha,0.8790139751552795,0.02907456418240029
18,KNN,beta,0.9339518633540372,0.019805649530561156
18,RandomForest,theta,0.8640916149068323,0.008250515974760276
18,RandomForest,alpha,0.8927251552795031,0.022295530479715844
18,RandomForest,beta,0.9289829192546584,0.024629424299750485
19,LogisticRegression,theta,0.8863771979940329,0.022367710213367715
19,LogisticRegression,alpha,0.9020948390782708,0.03128003305473865
19,LogisticRegression,beta,0.9628769123341586,0.009139497977092346
19,SVM,theta,0.9100107915952517,0.015489027330491671
19,SVM,alpha,0.9122135466260396,0.0363337389886629
19,SVM,beta,0.9707547768678981,0.012509140440730138
19,LDA,theta,0.8953723100361837,0.025594898022955084
19,LDA,alpha,0.8930997270361202,0.027944666738355235
19,LDA,beta,0.9684885418650417,0.014524092757463965
19,KNN,theta,0.9043547260839204,0.01833480946268132
19,KNN,alpha,0.9088427601091856,0.0318377026891214
19,KNN,beta,0.9741192153875453,0.007660183755248104
19,RandomForest,theta,0.8976068050530058,0.022480471104994886
19,RandomForest,alpha,0.9155906811401003,0.027949364479650234
19,RandomForest,beta,0.9640195518313972,0.009760396129378814
21,LogisticRegression,theta,0.8998286040754142,0.022964558774985707
21,LogisticRegression,alpha,0.9076747286231193,0.01824877958620326
21,LogisticRegression,beta,0.9572208468228274,0.015320025568478977
21,SVM,theta,0.907687424617533,0.011909807102303225
21,SVM,alpha,0.9358534882244651,0.022582833890770253
21,SVM,beta,0.9707420808734843,0.014793890022940338
21,LDA,theta,0.8840411350219005,0.017829224580020953
21,LDA,alpha,0.9031930425950613,0.03138021839361153
21,LDA,beta,0.9538500603059734,0.014798555327046858
21,KNN,theta,0.9099600076175965,0.018623139215584283
21,KNN,alpha,0.9133054021456232,0.02857238831634724
21,KNN,beta,0.9718656763791025,0.015473998096718075
21,RandomForest,theta,0.8896972005332318,0.023791582165679722
21,RandomForest,alpha,0.9302164667047548,0.02528294684942534
21,RandomForest,beta,0.9651114073509808,0.017529329648205236
22,LogisticRegression,theta,0.7558011049723757,0.04601251450531936
22,LogisticRegression,alpha,0.8143646408839779,0.035046964700892164
22,LogisticRegression,beta,0.9060773480662985,0.02369901722599693
22,SVM,theta,0.7756906077348067,0.032516992197927426
22,SVM,alpha,0.8209944751381215,0.028301101601913136
22,SVM,beta,0.8972375690607736,0.018021554066629926
22,LDA,theta,0.7392265193370166,0.046012514505319374
22,LDA,alpha,0.7922651933701659,0.038053426204911776
22,LDA,beta,0.841988950276243,0.012403284155051743
22,KNN,theta,0.749171270718232,0.03916032076612012
22,KNN,alpha,0.7900552486187846,0.018489724343294496
22,KNN,beta,0.8751381215469614,0.0138011005489467
22,RandomForest,theta,0.7591160220994475,0.038053426204911735
22,RandomForest,alpha,0.8287292817679559,0.02729080449774247
22,RandomForest,beta,0.9226519337016574,0.02317809609215805
23,LogisticRegression,theta,0.9284848484848485,0.013497610576557646
23,LogisticRegression,alpha,0.949090909090909,0.01976909870339404
23,LogisticRegression,beta,0.9745454545454544,0.012941913032765227
23,SVM,theta,0.9393939393939394,0.01838272834921587
23,SVM,alpha,0.943030303030303,0.018222177428330766
23,SVM,beta,0.9733333333333333,0.006180629713445791
23,LDA,theta,0.9284848484848485,0.010427060929748625
23,LDA,alpha,0.9503030303030304,0.023441308613107528
23,LDA,beta,0.9745454545454546,0.015522725424079625
23,KNN,theta,0.9345454545454546,0.01931803327334452
23,KNN,alpha,0.9381818181818181,0.009696969696969713
23,KNN,beta,0.9733333333333334,0.009070684573997444
23,RandomForest,theta,0.943030303030303,0.017814470856604883
23,RandomForest,alpha,0.9418181818181818,0.023503902338988265
23,RandomForest,beta,0.9806060606060605,0.00890723542830248
24,LogisticRegression,theta,0.7783982102908278,0.045170672921221885
24,LogisticRegression,alpha,0.8144250559284117,0.03938824824189427
24,LogisticRegression,beta,0.8691275167785235,0.034028579705096304
24,SVM,theta,0.7984250559284116,0.03498146017451138
24,SVM,alpha,0.8143803131991053,0.044084860196308806
24,SVM,beta,0.8744697986577181,0.03123565015936178
24,LDA,theta,0.782371364653244,0.03443724375132415
24,LDA,alpha,0.8117315436241611,0.04497478436105112
24,LDA,beta,0.8624608501118567,0.034507326346311616
24,KNN,theta,0.7663803131991052,0.02507735740725241
24,KNN,alpha,0.7876778523489933,0.02964624477631216
24,KNN,beta,0.8624608501118569,0.03770764753577129
24,RandomForest,theta,0.782407158836689,0.022276836531715985
24,RandomForest,alpha,0.7970380313199105,0.03430463775940612
24,RandomForest,beta,0.8718210290827739,0.034644759599341275
25,LogisticRegression,theta,0.9477140008545792,0.01948357099014148
25,LogisticRegression,alpha,0.9578977353653325,0.024880599767004293
25,LogisticRegression,beta,0.9392536675687225,0.012570997956767554
25,SVM,theta,0.9443668993020937,0.02524230730554377
25,SVM,alpha,0.9562028201110954,0.023351025863728076
25,SVM,beta,0.946004842615012,0.008807924774703964
25,LDA,theta,0.9477424868252387,0.01789762451316965
25,LDA,alpha,0.9595784076342401,0.026203864913924044
25,LDA,beta,0.9375729952998147,0.011602535522430893
25,KNN,theta,0.956160091155106,0.018703192875660263
25,KNN,alpha,0.9544509329155391,0.019657105207595216
25,KNN,beta,0.9561458481697764,0.019627040502943567
25,RandomForest,theta,0.9342258937473295,0.02218861470389756
25,RandomForest,alpha,0.9426862270331862,0.009709015925676804
25,RandomForest,beta,0.9426150121065374,0.014702072809319117
26,LogisticRegression,theta,0.9047079680882497,0.026657833003067278
26,LogisticRegression,alpha,0.9131389737023541,0.01072382698959711
26,LogisticRegression,beta,0.9565448635871171,0.01635203065050971
26,SVM,theta,0.9229390327981877,0.023940061903551985
26,SVM,alpha,0.9215207327883383,0.017661142527027912
26,SVM,beta,0.9551462621885157,0.01868874013875525
26,LDA,theta,0.899133261105092,0.033366830947873016
26,LDA,alpha,0.9075248694967005,0.018160645319656134
26,LDA,beta,0.924347483502413,0.025638603345686975
26,KNN,theta,0.9131783709248499,0.010366598873660744
26,KNN,alpha,0.9201221313897371,0.024274252637810176
26,KNN,beta,0.9565448635871171,0.017507444811810907
26,RandomForest,theta,0.9257559342066385,0.01577456621954344
26,RandomForest,alpha,0.9242883876686694,0.03080238022831652
26,RandomForest,beta,0.9551659607997636,0.01226583029715586
27,LogisticRegression,theta,0.9017805232558139,0.026077511611559124
27,LogisticRegression,alpha,0.9142441860465116,0.033708123633198736
27,LogisticRegression,beta,0.9750363372093023,0.005856494074972607
27,SVM,theta,0.8986555232558139,0.02582151853977295
27,SVM,alpha,0.9064680232558139,0.03895941983433204
27,SVM,beta,0.9625605620155039,0.013434637219978734
27,LDA,theta,0.8986555232558139,0.03137090422987259
27,LDA,alpha,0.9173812984496124,0.03560868117004956
27,LDA,beta,0.9547480620155039,0.015174448382879891
27,KNN,theta,0.879953972868217,0.04647907073751689
27,KNN,alpha,0.9033187984496124,0.03208252064700638
27,KNN,beta,0.9610101744186046,0.01708374486152788
27,RandomForest,theta,0.8924055232558139,0.022546469743565452
27,RandomForest,alpha,0.90640746124031,0.03490475568298616
27,RandomForest,beta,0.9563105620155039,0.013642921788467325
28,LogisticRegression,theta,0.7553747534516766,0.020706340246846488
28,LogisticRegression,alpha,0.7933291067906453,0.029145038298562492
28,LogisticRegression,beta,0.9501197520428288,0.019411884759658247
28,SVM,theta,0.8266201746970978,0.016386835264867537
28,SVM,alpha,0.8360805860805861,0.04159768261702855
28,SVM,beta,0.9572485207100592,0.01739399625608724
28,LDA,theta,0.7435052127359819,0.024360585639434284
28,LDA,alpha,0.7897647224570302,0.03197495859026015
28,LDA,beta,0.9251408847562693,0.02522848903955032
28,KNN,theta,0.7993307974077204,0.01725811812265297
28,KNN,alpha,0.8182234432234432,0.03669865368042835
28,KNN,beta,0.9548816568047338,0.01526283315301374
28,RandomForest,theta,0.8028388278388279,0.019809348632630498
28,RandomForest,alpha,0.8241969568892646,0.04411133891337425
28,RandomForest,beta,0.9513172724711186,0.016540635394159762
29,LogisticRegression,theta,0.9188867691617103,0.01470964952175389
29,LogisticRegression,alpha,0.9429581416227135,0.022560287663435624
29,LogisticRegression,beta,0.9910223319492761,0.010964844285981209
29,SVM,theta,0.9248905846706318,0.02238420898575924
29,SVM,alpha,0.9474581977331388,0.01159136548697402
29,SVM,beta,0.9939961844910783,0.005623597221434333
29,LDA,theta,0.9114016384244191,0.008856066824645946
29,LDA,alpha,0.9414319380540904,0.01743510461727216
29,LDA,beta,0.9940074065761418,0.005590626081377303
29,KNN,theta,0.924924250925822,0.012583355557118779
29,KNN,alpha,0.9324542700033666,0.01892498760129998
29,KNN,beta,0.9880035910672204,0.008983445565492089
29,RandomForest,theta,0.9323981595780497,0.022872536525213212
29,RandomForest,alpha,0.9414543822242172,0.01600017482228007
29,RandomForest,beta,0.989496128380653,0.007654613753494245
30,LogisticRegression,theta,0.8754491017964071,0.026347305389221563
30,LogisticRegression,alpha,0.8467065868263474,0.015888022947810318
30,LogisticRegression,beta,0.9065868263473054,0.02500672217703126
30,SVM,theta,0.8706586826347305,0.03136718767355401
30,SVM,alpha,0.8634730538922156,0.013863277727892491
30,SVM,beta,0.9293413173652695,0.01221322039183898
30,LDA,theta,0.8491017964071856,0.021556886227544907
30,LDA,alpha,0.8407185628742514,0.010440476511474664
30,LDA,beta,0.9089820359281436,0.02377177633686132
30,KNN,theta,0.8598802395209582,0.02948151766488905
30,KNN,alpha,0.8586826347305389,0.011106129934725385
30,KNN,beta,0.9257485029940119,0.021623317467386566
30,RandomForest,theta,0.8658682634730539,0.04124353379095224
30,RandomForest,alpha,0.8526946107784431,0.028491921564958844
30,RandomForest,beta,0.9293413173652695,0.015797492165596318
