PID        Process Name
17616      openvibe-acquisition-server.exe
17684      AdobeCollabSync.exe
17748      chrome.exe
17904      AdobeCollabSync.exe
17924      msedge.exe
18160      chrome.exe
18172      chrome.exe
18196      DellUpTray.exe
18260      RuntimeBroker.exe
18272      Code.exe
18300      python.exe
18480      Code.exe
18504      cmd.exe
18948      cmd.exe
19016      chrome.exe
19020      chrome.exe
19080      msedge.exe
19180      chrome.exe
19276      msedge.exe
19424      RuntimeBroker.exe
19580      Code.exe
19772      msedge.exe
19828      msedge.exe
19848      svchost.exe
19948      bash.exe
19960      msedge.exe
20020      ShellExperienceHost.exe
20124      chrome.exe
20152      bash.exe
20200      conhost.exe
20360      svchost.exe
20544      Code.exe
20656      bash.exe
20800      SystemSettingsBroker.exe
20876      chrome.exe
20976      python.exe
21008      conhost.exe
21128      conhost.exe
21308      python.exe
21420      chrome.exe
21432      bash.exe
21516      Code.exe
21736      chrome.exe
22032      python.exe
22044      conhost.exe
22188      WmiPrvSE.exe
22296      WmiApSrv.exe
22864      WmiPrvSE.exe
