classifier,participant_left_out,score
LogisticRegression,1,0.5199034981905911
SVM,1,0.4837153196622437
LDA,1,0.5138721351025332
KNN,1,0.5186972255729795
RandomForest,1,0.5416164053075995
LogisticRegression,2,0.47330960854092524
SVM,2,0.48279952550415184
LDA,2,0.4638196915776987
KNN,2,0.4816132858837485
RandomForest,2,0.4721233689205219
LogisticRegression,3,0.5373134328358209
SVM,3,0.48059701492537316
LDA,3,0.5402985074626866
KNN,3,0.47761194029850745
RandomForest,3,0.46417910447761196
LogisticRegression,4,0.4419525065963061
SVM,4,0.4762532981530343
LDA,4,0.4393139841688654
KNN,4,0.5593667546174143
RandomForest,4,0.5303430079155673
LogisticRegression,6,0.5801324503311258
SVM,6,0.6013245033112583
LDA,6,0.5867549668874172
KNN,6,0.5364238410596026
RandomForest,6,0.5695364238410596
LogisticRegression,7,0.5
SVM,7,0.5180412371134021
LDA,7,0.49097938144329895
KNN,7,0.47809278350515466
RandomForest,7,0.45618556701030927
LogisticRegression,8,0.5565714285714286
SVM,8,0.528
LDA,8,0.5451428571428572
KNN,8,0.5211428571428571
RandomForest,8,0.4937142857142857
LogisticRegression,9,0.5134831460674157
SVM,9,0.5224719101123596
LDA,9,0.5089887640449439
KNN,9,0.5
RandomForest,9,0.4966292134831461
LogisticRegression,10,0.7546391752577319
SVM,10,0.6865979381443299
LDA,10,0.7422680412371134
KNN,10,0.5175257731958763
RandomForest,10,0.5298969072164949
LogisticRegression,11,0.5108910891089109
SVM,11,0.4693069306930693
LDA,11,0.5128712871287129
KNN,11,0.47326732673267324
RandomForest,11,0.47128712871287126
LogisticRegression,12,0.5379388448471121
SVM,12,0.5084937712344281
LDA,12,0.5311438278595696
KNN,12,0.5039637599093998
RandomForest,12,0.47904869762174407
LogisticRegression,15,0.5883495145631068
SVM,15,0.6019417475728155
LDA,15,0.596116504854369
KNN,15,0.5359223300970873
RandomForest,15,0.5592233009708738
LogisticRegression,18,0.571072319201995
SVM,18,0.5985037406483791
LDA,18,0.5586034912718204
KNN,18,0.5685785536159601
RandomForest,18,0.5723192019950125
LogisticRegression,19,0.38695163104611924
SVM,19,0.4409448818897638
LDA,19,0.3644544431946007
KNN,19,0.5095613048368954
RandomForest,19,0.4634420697412823
LogisticRegression,21,0.527027027027027
SVM,21,0.46396396396396394
LDA,21,0.5247747747747747
KNN,21,0.509009009009009
RandomForest,21,0.5191441441441441
LogisticRegression,22,0.532596685082873
SVM,22,0.5513812154696133
LDA,22,0.507182320441989
KNN,22,0.45414364640883975
RandomForest,22,0.481767955801105
LogisticRegression,23,0.46424242424242423
SVM,23,0.44363636363636366
LDA,23,0.46545454545454545
KNN,23,0.4715151515151515
RandomForest,23,0.52
LogisticRegression,24,0.49666221628838453
SVM,24,0.4833110814419226
LDA,24,0.4886515353805073
KNN,24,0.4979973297730307
RandomForest,24,0.5260347129506008
LogisticRegression,25,0.5042158516020236
SVM,25,0.45193929173693087
LDA,25,0.5008431703204047
KNN,25,0.42833052276559863
RandomForest,25,0.44350758853288363
LogisticRegression,26,0.4831932773109244
SVM,26,0.4579831932773109
LDA,26,0.49299719887955185
KNN,26,0.4803921568627451
RandomForest,26,0.5070028011204482
LogisticRegression,27,0.5694227769110765
SVM,27,0.5569422776911076
LDA,27,0.5787831513260531
KNN,27,0.5039001560062403
RandomForest,27,0.5460218408736349
LogisticRegression,28,0.5106888361045131
SVM,28,0.5142517814726841
LDA,28,0.501187648456057
KNN,28,0.4857482185273159
RandomForest,28,0.47980997624703087
LogisticRegression,29,0.5900900900900901
SVM,29,0.5180180180180181
LDA,29,0.5900900900900901
KNN,29,0.5420420420420421
RandomForest,29,0.4984984984984985
LogisticRegression,30,0.5461077844311377
SVM,30,0.3712574850299401
LDA,30,0.5437125748502994
KNN,30,0.5077844311377245
RandomForest,30,0.4562874251497006
