band,channel,t_statistic,p_value,cohen_d,p_value_corrected,significant
beta,2L,0.08830847281636703,0.9303959198097498,0.01802589153037818,0.994414317839561,False
beta,3L,-0.06256832791083529,0.9506508228869933,-0.012771706453390454,0.994414317839561,False
beta,4L,-2.708139081454496,0.012544986799617287,-0.5527965751710872,0.586637104902128,False
beta,5L,-2.5429058643339952,0.01818307844680863,-0.5190684859624427,0.586637104902128,False
beta,6L,-3.4912136896984074,0.0019697864195037033,-0.712641010231705,0.3663802740276888,False
beta,7L,0.5736770382915743,0.5717540282169791,0.11710133508045367,0.994414317839561,False
beta,8L,0.7798110054543461,0.44345328941139894,0.1591782549308215,0.994414317839561,False
beta,9L,0.7869699148223495,0.43933389940236756,0.16063956118635803,0.994414317839561,False
beta,10L,-2.168008610910053,0.0407521401724088,-0.44254290455748185,0.7147116434619283,False
beta,1R,-1.1102297697390193,0.2783728827623474,-0.2266247027590215,0.994414317839561,False
beta,2R,-0.5032182463706568,0.619596135002014,-0.10271899440552186,0.994414317839561,False
beta,3R,0.053145439268933024,0.9580749416516854,0.010848267363746479,0.994414317839561,False
beta,4R,0.8146127461202222,0.42364890201220673,0.16628213049682677,0.994414317839561,False
beta,5R,1.0574785776073474,0.30127410768790186,0.21585691075517854,0.994414317839561,False
beta,6R,-1.057377932546494,0.3013190461881255,-0.21583636666815997,0.994414317839561,False
beta,7R,0.35749682791513565,0.7239795370296527,0.07297373442130398,0.994414317839561,False
beta,8R,-0.6782117959295351,0.504404270405879,-0.1384394031303295,0.994414317839561,False
beta,9R,-0.49892839028859454,0.6225683562523228,-0.10184333119960289,0.994414317839561,False
beta,10R,0.509078222079845,0.6155467559743304,0.10391515693823976,0.994414317839561,False
beta,1LA,0.2826924806352253,0.7799411101402546,0.057704360973159716,0.994414317839561,False
beta,2LA,-1.1500478040956046,0.26194206633466094,-0.23475252498687507,0.994414317839561,False
beta,3LA,-0.06107064297236717,0.9518305335473671,-0.012465992795498912,0.994414317839561,False
beta,1LB,0.3915129185552147,0.6990218891012834,0.07991723984734202,0.994414317839561,False
beta,2LB,0.6239691334454875,0.5387879582726988,0.12736716601566914,0.994414317839561,False
beta,3LB,0.013780678722551044,0.9891237991842106,0.002812969264956598,0.999009659538565,False
beta,4LB,2.5248967372821283,0.018923777577487998,0.5153923882966072,0.586637104902128,False
beta,5LB,0.3432881395659861,0.7344997926187392,0.07007339805716692,0.994414317839561,False
beta,1LC,0.7764582077521185,0.44539062681245056,0.15849386796571868,0.994414317839561,False
beta,2LC,0.6786807962786796,0.5041124418589218,0.13853513742571213,0.994414317839561,False
beta,3LC,-0.3431779217268272,0.7345816102387193,-0.0700508999349593,0.994414317839561,False
beta,4LC,0.13856847636022213,0.8909972551550798,0.028285171793121445,0.994414317839561,False
beta,5LC,-0.3780732691278588,0.7088430679293125,-0.07717388289576618,0.994414317839561,False
beta,1LD,0.7268680574936711,0.4746405392823301,0.14837132093229008,0.994414317839561,False
beta,2LD,-1.628725380700869,0.11699303734511515,-0.3324621761531172,0.8704281978476568,False
beta,3LD,-1.6542560185304567,0.11166023731277751,-0.3376735957773077,0.8704281978476568,False
beta,4LD,2.0054626478964392,0.05681810162903506,0.40936334879642666,0.7147116434619283,False
beta,1RA,-1.1724565491850505,0.2530150052182283,-0.23932669092397849,0.994414317839561,False
beta,2RA,0.28896954269017394,0.7751932559562212,0.0589856608996939,0.994414317839561,False
beta,3RA,-1.878774244949034,0.07300817863320773,-0.38350318683398904,0.7147116434619283,False
beta,1RB,-0.5612775899999406,0.5800364854856336,-0.11457030829657638,0.994414317839561,False
beta,2RB,0.41017719638794,0.6854716837436532,0.08372706960631834,0.994414317839561,False
beta,3RB,-0.481930007949316,0.6344099010018005,-0.09837355093427208,0.994414317839561,False
beta,4RB,0.3176563295874134,0.7536116023290722,0.06484132675454347,0.994414317839561,False
beta,5RB,-1.2759759321232396,0.21469980531301838,-0.26045749648117333,0.9906936617717541,False
beta,1RC,-0.43585331830156887,0.6670066010385871,-0.08896818604480872,0.994414317839561,False
beta,2RC,0.0008538248525288611,0.999326108947797,0.00017428626820023373,0.999326108947797,False
beta,3RC,-0.25088115674653316,0.8041337132208111,-0.0512109016756843,0.994414317839561,False
beta,4RC,1.4168138450967325,0.16994070162180266,0.2892059150831367,0.9894072889406047,False
beta,5RC,1.0991898531981115,0.2830583101425537,0.2243711892316768,0.994414317839561,False
beta,1RD,-0.16409216417220282,0.871092083972114,-0.03349517275090868,0.994414317839561,False
beta,2RD,-1.0331028611137996,0.3122971932867614,-0.2108812384615172,0.994414317839561,False
beta,3RD,0.7760512829617748,0.44562610857900253,0.15841080479071612,0.994414317839561,False
beta,4RD,0.05090651662328305,0.9598395432837002,0.010391249192462764,0.994414317839561,False
