classifier,mean,std
KNN,0.5026096000214939,0.03263277117138303
LDA,0.524512703889615,0.06955167381870987
LogisticRegression,0.5290314839270444,0.0679003912387527
RandomForest,0.5032341510936011,0.03785252739894737
SVM,0.5088198537792693,0.06683701228761124
