participant,classifier,mean_accuracy,std_accuracy
1,LogisticRegression,0.8190507484483389,0.03678193048589632
1,SVM,0.8480029207740051,0.02570983632297114
1,LDA,0.8118072289156627,0.04323538923470089
1,KNN,0.8238700255567727,0.031820073436510894
1,RandomForest,0.8600511135450896,0.028473309239992493
2,LogisticRegression,0.976260918568611,0.009248818678042465
2,SVM,0.9726965342349958,0.008124159507440642
2,LDA,0.9786348267117498,0.008092035803059562
2,KNN,0.9691251056635671,0.01785093256644057
2,RandomForest,0.972668357283742,0.01907233079316001
3,LogisticRegression,0.9716417910447761,0.01283929144334722
3,SVM,0.964179104477612,0.01522095377191874
3,LDA,0.9746268656716417,0.007610476885959372
3,KNN,0.9597014925373134,0.02434254691089566
3,RandomForest,0.971641791044776,0.01447068614154128
4,LogisticRegression,0.9498344370860927,0.01607445847369717
4,SVM,0.9538079470198676,0.01113440921848257
4,LDA,0.9511763680724992,0.008999989599139094
4,KNN,0.9577727431160683,0.0053773909953553495
4,RandomForest,0.9683600557685604,0.0112958495199885
6,LogisticRegression,0.9668874172185431,0.013891507922783482
6,SVM,0.9774834437086092,0.014867512795128244
6,LDA,0.9682119205298013,0.017471398620229065
6,KNN,0.9735099337748345,0.013891507922783482
6,RandomForest,0.9668874172185431,0.0225554786303661
7,LogisticRegression,0.9058974358974359,0.027327995038646354
7,SVM,0.9098014888337469,0.021555550047139247
7,LDA,0.9007692307692308,0.02786683355339142
7,KNN,0.8917783291976841,0.02197200686625472
7,RandomForest,0.9046071133167907,0.025043541700667485
8,LogisticRegression,0.7897142857142858,0.0075808566636694965
8,SVM,0.8868571428571428,0.02119684227541874
8,LDA,0.7897142857142858,0.017851999259215233
8,KNN,0.8902857142857142,0.028318883870545986
8,RandomForest,0.8822857142857142,0.022742569991008446
9,LogisticRegression,0.9235955056179777,0.03189903273388402
9,SVM,0.9471910112359551,0.024770120994436613
9,LDA,0.9101123595505618,0.029083548551786007
9,KNN,0.9460674157303371,0.020287045039626722
9,RandomForest,0.9415730337078652,0.024770120994436644
10,LogisticRegression,0.9278350515463918,0.01844179775257557
10,SVM,0.9216494845360825,0.021228103383478365
10,LDA,0.9154639175257732,0.03154032688820276
10,KNN,0.9278350515463918,0.006520160124058526
10,RandomForest,0.9175257731958764,0.02350877165152862
11,LogisticRegression,0.9821782178217822,0.007409222548067217
11,SVM,0.9841584158415841,0.011881188118811892
11,LDA,0.9841584158415841,0.010097068343748097
11,KNN,0.9742574257425742,0.011881188118811892
11,RandomForest,0.9782178217821782,0.011546439395733278
12,LogisticRegression,0.9105033384694401,0.016318307407525753
12,SVM,0.9274974319465844,0.014183113970260557
12,LDA,0.9082434514637905,0.011735024189825872
12,KNN,0.9105225988700564,0.012173927572726987
12,RandomForest,0.9206920903954803,0.014067530801472345
15,LogisticRegression,0.9708737864077669,0.012280689942401467
15,SVM,0.9825242718446603,0.012880096273224848
15,LDA,0.978640776699029,0.009512581525371561
15,KNN,0.9825242718446603,0.003883495145631066
15,RandomForest,0.9728155339805825,0.018825941193849813
18,LogisticRegression,0.9650776397515528,0.014597648441895619
18,SVM,0.965085403726708,0.018373059658280726
18,LDA,0.9626009316770187,0.013654636227515084
18,KNN,0.9763354037267081,0.009906953989789795
18,RandomForest,0.9601164596273293,0.019949527740611164
19,LogisticRegression,0.9639941598425696,0.007680934969495732
19,SVM,0.9718720243763093,0.010071301130705122
19,LDA,0.9696057893734527,0.01838858878114099
19,KNN,0.9741255633847521,0.005742022265356335
19,RandomForest,0.9684948898622485,0.00845015001937946
21,LogisticRegression,0.977496349901606,0.012791521529332932
21,SVM,0.9775026978988128,0.013740465409725981
21,LDA,0.9684885418650415,0.012598965866208121
21,KNN,0.9763664063987811,0.008968253110234558
21,RandomForest,0.979743540912842,0.011552768932690386
22,LogisticRegression,0.9171270718232044,0.017817144195134933
22,SVM,0.9193370165745856,0.028515995360362305
22,LDA,0.8651933701657459,0.02253710282250953
22,KNN,0.8895027624309393,0.018489724343294486
22,RandomForest,0.932596685082873,0.01616435230754453
23,LogisticRegression,0.9733333333333333,0.006180629713445791
23,SVM,0.9781818181818182,0.0146461163316298
23,LDA,0.9757575757575758,0.012712834523274593
23,KNN,0.9745454545454546,0.014031317457927526
23,RandomForest,0.9757575757575758,0.010141333654958505
24,LogisticRegression,0.8691364653243848,0.038864570039280545
24,SVM,0.8797941834451901,0.028838660219377425
24,LDA,0.8691006711409397,0.039939723062532455
24,KNN,0.8637762863534675,0.028404404301542004
24,RandomForest,0.8691364653243848,0.033456594166577
25,LogisticRegression,0.9831647913402648,0.018410930418071916
25,SVM,0.9865261358780801,0.01258473947098043
25,LDA,0.9831505483549353,0.015966990059543593
25,KNN,0.9831505483549353,0.011914629685498767
25,RandomForest,0.9814413901153681,0.014474517494541532
26,LogisticRegression,0.9663547719885747,0.01369026555305487
26,SVM,0.9691815227026493,0.005632080647102951
26,LDA,0.9593814636068156,0.02315484401321321
26,KNN,0.9635772678026198,0.012059251052060908
26,RandomForest,0.9663547719885749,0.018544817084208305
27,LogisticRegression,0.9750484496124031,0.009078082496030173
27,SVM,0.9657218992248062,0.01591779001443741
27,LDA,0.9563590116279069,0.022297667566530757
27,KNN,0.9579093992248062,0.015965277615228625
27,RandomForest,0.9578972868217054,0.012611181434659637
28,LogisticRegression,0.9465624119470274,0.012453276109123465
28,SVM,0.9643843336151029,0.018017686979976136
28,LDA,0.9453508030431108,0.022056335393355237
28,KNN,0.9620033812341505,0.017872820866395713
28,RandomForest,0.9572132995209918,0.021456167904576436
