PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Reading_time
6,2024/ 08/ 21,1724266930,0,D,R1,86.54542090000177
6,2024/ 08/ 21,1724266930,1,ND,R2,141.27576429999317
6,2024/ 08/ 21,1724266930,2,D,R3,100.15754429998924
6,2024/ 08/ 21,1724266930,3,ND,R4,99.18998949999514
6,2024/ 08/ 21,1724266930,4,D,R5,114.18314000000828
6,2024/ 08/ 21,1724266930,5,ND,R6,113.2236578999873
6,2024/ 08/ 21,1724266930,6,D,R7,142.2677340999944
6,2024/ 08/ 21,1724266930,7,ND,R8,113.22851109999465
