PID,Date,Timestamp,BlockNo,BlockType,Paragraph_id,Reading_time
23,2024/ 09/ 05,1725577057,0,D,R1,88.48061039997265
23,2024/ 09/ 05,1725577057,1,D,R2,142.240236200043
23,2024/ 09/ 05,1725577057,2,ND,R3,99.18967279989738
23,2024/ 09/ 05,1725577057,3,ND,R4,99.20365439995658
23,2024/ 09/ 05,1725577057,4,D,R5,114.2066424000077
23,2024/ 09/ 05,1725577057,5,D,R6,114.18600390001666
23,2024/ 09/ 05,1725577057,6,ND,R7,140.69063740002457
23,2024/ 09/ 05,1725577057,7,ND,R8,113.22259060002398
